Ticker,QMV($),HQ Location,Sector
XHB,425390000,ON,ETP
XRB,470866000,ON,ETP
XDV,1475936000,ON,ETP
XSB,2346876000,ON,ETP
XBB,2162460000,ON,ETP
XCV,70224000,ON,ETP
XCH,30362500,ON,ETP
XCR,11720000,ON,ETP
XSC,57826000,ON,ETP
XSE,56280000,ON,ETP
CVD,125222500,ON,ETP
XLB,320625000,ON,ETP
XSH,537350000,ON,ETP
XQB,381846500,ON,ETP
XAW,105644000,ON,ETP
XEF,692180000,ON,ETP
XFH,82236000,ON,ETP
XEC,198968000,ON,ETP
XUS,756432000,ON,ETP
XSP,3742296000,ON,ETP
XUU,71269000,ON,ETP
XUH,35275500,ON,ETP
XIC,2671372000,ON,ETP
XEI,429510000,ON,ETP
XSQ,106920000,ON,ETP
XTR,610400000,ON,ETP
XMV,91455000,ON,ETP
XMI,226305000,ON,ETP
XML,19323000,ON,ETP
XMM,76322000,ON,ETP
XMW,94365000,ON,ETP
XMY,6120000,ON,ETP
XMU,144023500,ON,ETP
XMS,8164000,ON,ETP
XFC,19917000,ON,ETP
XFI,38798000,ON,ETP
XFF,15155000,ON,ETP
XFS,56600000,ON,ETP
